Student_ID,Year_of_Entry,Hometown REGION,Address_Type,Where_to_stay,Age,Years_Living_in_BKK,Time_spent_for_traveling,Type_of_prior_school,Math,Physics_,Chemistry_,Biology_,Gender,Family_Size,Stay_with,Family_status,Prior_School_Province,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_,Statistics_,Computer_Programming,Thermodynamics_,Engineering_Materials_,Engineering_Drawing,Household_income,Living_expenses_,University_GPAx,TCAS_channels_,InternetAccess_at_Home,Father_Education,Mother_Education,guardian,mother's_job,father's_job,Participation_on_Activities
129,2020,N,U,A,18,0,10,H,3,3,4,3,M,4,A,T,N,3,2.5,2.5,3,2,2,3.5,2.5,2,3.5,3.5,430000,8000,2.76,3,W,H,H,M,Free,Bus,L
130,2020,NE,U,A,18,0,15,H,3,3.5,3,3,F,3,A,T,NE,2.5,3,4,2.5,2,1.5,3.5,3,1.5,3.5,1.5,480000,12000,2.79,3,W,P,P,M,Free,Pri,N
131,2020,BKK,U,H,18,3,65,V,2.5,2,3.5,4,M,3,P,T,BKK,2.5,2,1.5,2,1.5,2,3,3,3,2.5,1,1250000,10000,2.44,1,W,D,D,F,Free,Pri,L
132,2020,S,R,A,18,0,10,H,2,2.5,3,2.5,F,4,A,T,S,2,2.5,3.5,2,2.5,2,2,1.5,1.5,3,1,530000,10000,2.44,2,M,P,H,F,Free,Pri,L
133,2020,BKK,U,H,18,18,70,V,2,2,2.5,4,F,3,P,T,BKK,1.5,1,2,1.5,1,0.5,1.5,1.5,2,1.5,2,500000,6000,1.89,1,W,V,B,M,Bus,Pub,H
134,2020,NE,R,A,19,4,15,H,2.5,2.5,2.5,2.5,M,4,RM,T,NE,2.5,2,2,2.5,2,2.5,3.5,2.5,2.5,3,1,510000,13000,2.47,2,W,B,M,M,Pub,Free,N
135,2020,S,U,A,18,0,5,H,2.5,3.5,2.5,2,F,2,A,A,S,2.5,2.5,2.5,3,2,3,3,2.5,2,3,3,1170000,3000,2.75,2,W,D,D,F,Un,Bus,N
136,2020,N,R,A,18,0,10,H,3,3,2.5,4,M,4,A,T,N,3,3,3.5,3.5,4,3.5,4,2,3,3.5,2.5,840000,7000,3.34,2,W,D,D,F,Free,Free,L
137,2020,NE,U,A,20,0,30,H,3,2.5,3.5,2.5,M,4,A,T,NE,3,4,4,3.5,3.5,2.5,3,3.5,3.5,3.5,2,1050000,9000,3.38,3,W,M,M,F,Free,Pub,H
138,2020,NE,U,A,18,0,15,V,3,3.5,3.5,2.5,M,3,A,A,NE,3,2.5,2,2.5,2.5,3,3.5,3.5,3.5,3,4,470000,12000,2.96,3,W,V,H,M,Pub,Un,L
139,2020,BKK,U,H,18,18,65,V,2.5,2,2.5,4,M,4,P,T,BKK,2.5,2.5,2.5,3,2.5,1,2.5,3,1.5,2.5,1.5,1500000,7000,2.57,1,W,M,D,M,Pri,Bus,H
140,2020,BKK,U,H,18,3,40,V,2.5,4,3,3.5,F,4,P,T,BKK,2.5,2,2,3,2,2.5,2.5,2.5,2.5,4,2,410000,3000,2.73,1,W,P,P,F,Free,Bus,M
141,2020,N,U,A,18,0,10,H,3.5,4,3,3.5,M,4,A,T,N,3,2,2.5,3,3,4,3.5,3.5,2.5,3.5,3.5,480000,12000,3.13,3,W,V,V,M,Pub,Free,N
142,2020,BKK,U,H,19,19,25,V,3.5,3,4,4,M,4,P,T,BKK,3,3,2.5,3,3,3.5,4,3,1.5,4,2.5,620000,13000,3.16,1,W,D,D,F,Bus,Free,N
143,2020,S,U,A,18,0,5,H,2,3.5,2.5,3,F,4,A,T,S,1.5,2.5,3,1.5,1,1,1.5,1,1,2,3.5,1080000,8000,1.93,2,M,D,D,F,Pri,Pub,H
144,2020,BKK,U,H,18,18,60,H,2.5,2.5,3.5,2.5,M,4,P,T,BKK,2.5,2.5,3,2.5,2.5,0.5,2,3,1,3,3.5,1060000,5000,2.62,3,W,D,D,M,Pub,Pri,L
145,2020,NE,U,A,18,0,10,H,3,4,3.5,3,M,3,RM,T,NE,2.5,2.5,2.5,3,3.5,1.5,3.5,3,1,3,4,490000,5000,2.92,3,W,B,V,M,Pub,Pub,M
146,2020,N,R,A,18,0,10,H,2.5,3,3.5,2.5,F,3,A,A,N,2,2.5,2.5,2,1.5,2,2,2,0,2,3.5,370000,9000,2.18,2,W,H,V,M,Pub,Un,H
147,2020,N,R,A,19,0,30,H,3,2,2,4,M,3,A,T,N,2.5,2,2.5,2.5,3,2,3,2,3,2.5,2.5,700000,10000,2.73,2,W,D,D,F,Bus,Pub,H
148,2020,BKK,U,H,18,18,30,V,2.5,4,2.5,2.5,M,2,MoD,A,BKK,2.5,2,2.5,2.5,2,2.5,2,3,2.5,3,4,490000,10000,2.73,1,W,P,P,M,Pri,Un,N
149,2020,NE,U,A,18,0,55,H,2,3,3,2,F,3,A,A,NE,2,1,1,1.5,2,1.5,2,2,3,2.5,2,440000,3000,2.12,3,W,H,V,F,Un,Pub,N
150,2020,S,U,A,18,0,5,H,4,2.5,2,3.5,F,4,RM,T,S,3,2,2.5,3,3,2,3.5,3,2.5,4,2.5,1160000,13000,2.91,3,M,M,B,F,Pub,Free,L
151,2020,N,R,A,18,0,20,H,3.5,2.5,2.5,2,M,3,A,T,N,3,3.5,3.5,3,3.5,3.5,3.5,2.5,2.5,3,4,500000,11000,3.34,3,M,B,B,F,Pub,Pri,M
152,2020,BKK,U,H,18,3,65,V,3.5,2.5,3.5,2,M,4,P,T,BKK,3,2.5,4,3,3,0.5,4,3.5,2.5,3.5,2.5,590000,11000,3,2,W,V,B,F,Pri,Pri,M
153,2020,S,U,A,19,0,15,H,3,2.5,3,4,M,4,A,T,S,3,2,2.5,3,3,3,3.5,3,2,3.5,2.5,1000000,4000,2.99,3,W,M,D,F,Pri,Free,M
154,2020,BKK,U,H,18,18,15,V,2.5,4,2.5,2.5,M,3,P,T,BKK,2.5,4,4,3,3,2.5,2.5,2.5,1.5,2.5,2.5,330000,8000,2.95,1,W,H,V,M,Pub,Pri,M
155,2020,BKK,U,H,18,18,35,H,4,3,3.5,2.5,M,3,P,T,BKK,3.5,3,2.5,3,3,4,3,4,3.5,3.5,2,430000,11000,3.19,2,W,B,V,M,Pri,Bus,H
156,2020,S,U,A,18,0,15,H,2,3,3,2,F,4,RM,T,S,2,1.5,1,2,2,2,2,2,1.5,2,1,780000,4000,2.03,3,W,D,D,F,Free,Pri,H
157,2020,BKK,U,H,18,18,20,H,2.5,3,2.5,3,M,3,P,T,BKK,2,1.5,1.5,2.5,2.5,1,2.5,1.5,1,2,1,1430000,4000,2.15,2,W,M,D,M,Free,Pub,N
158,2020,S,R,A,18,0,10,H,3.5,3,3.5,2.5,F,4,A,T,S,3,2.5,3,3,3.5,2,3,3,3,4,0.5,620000,8000,2.78,3,W,D,D,M,Pri,Bus,M
159,2020,BKK,U,H,18,18,20,H,2,2.5,2.5,2,F,4,P,T,BKK,2,2,2,2.5,2,2.5,2.5,2,1,2.5,2.5,510000,6000,2.32,2,W,V,V,M,Pri,Pub,L
160,2020,N,U,A,18,3,15,H,2.5,2.5,2.5,4,M,3,A,A,N,2,2.5,3,2,2,2,2.5,1.5,2.5,2.5,0,590000,7000,2.37,3,M,H,H,M,Bus,Un,H
161,2020,S,U,A,18,0,10,H,4,2,3.5,3.5,F,4,A,T,S,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3,680000,5000,3.45,2,W,D,D,F,Free,Pub,L
162,2020,BKK,U,A,18,3,15,H,3.5,4,2,4,M,4,A,T,BKK,3,3,3,3.5,2.5,2,3,3.5,2,3,3,510000,10000,3.05,2,W,B,V,F,Pri,Pri,H
163,2020,BKK,U,H,18,18,20,V,3.5,2,3.5,2,M,4,P,T,BKK,3,2,2,2.5,2.5,3,3,3,3,3,2.5,500000,6000,2.65,1,W,V,B,F,Pub,Pub,H
164,2020,BKK,U,H,18,18,10,V,3,2,3,2.5,M,3,R,A,BKK,2.5,3,3.5,3,3.5,1.5,2.5,3,1,3,3.5,550000,13000,2.88,1,W,P,H,M,Pub,Un,L
165,2020,S,R,A,18,0,10,V,4,3.5,3.5,3.5,F,3,RM,T,S,3.5,4,4,4,4,3,4,4,4,4,4,500000,11000,3.77,3,M,B,V,F,Bus,Pub,N
166,2020,S,U,A,18,3,15,H,3,3.5,2.5,3.5,F,3,A,T,S,3,2.5,2.5,3,2,1,2.5,3,2,2.5,2,1000000,10000,2.6,2,W,M,D,F,Bus,Free,H
167,2020,BKK,U,H,18,3,60,V,4,3,3,4,M,3,P,T,BKK,4,4,3.5,4,3,3.5,4,4,3,4,4,1100000,8000,3.64,2,W,B,M,M,Free,Free,L
168,2020,S,R,A,19,0,5,H,3.5,4,2.5,4,M,3,A,T,S,3,2.5,3.5,3,3,2.5,3,2.5,2.5,3,1.5,1530000,13000,2.98,2,W,D,D,F,Bus,Pub,M
169,2020,BKK,U,H,18,18,15,V,3.5,3,3,4,F,3,P,T,BKK,3,2.5,2.5,2,2,2.5,4,3,2,4,1.5,950000,4000,2.9,1,W,B,V,F,Pri,Pri,N
170,2020,BKK,U,H,18,18,95,V,2,3,3,3.5,F,3,MoD,A,BKK,1.5,1.5,2,1,1,1,1.5,2,0.5,0.5,2,500000,9000,1.74,1,W,H,P,M,Free,Un,M
171,2020,N,U,A,18,3,5,H,2.5,3,3,2,F,4,A,T,N,2,1,1.5,2,2.5,1.5,2,2.5,0.5,1.5,2,620000,8000,2.17,3,W,M,B,F,Pub,Pub,N
172,2020,S,U,A,18,0,15,H,3,3,3.5,4,M,3,RM,T,S,2.5,2,3,2.5,3,2.5,2.5,2.5,2,3,3,750000,9000,2.63,2,W,D,M,M,Bus,Pri,H
173,2020,BKK,U,A,18,18,15,H,2.5,3.5,3.5,3,M,3,A,T,BKK,2,2.5,3,2.5,2,2.5,2.5,2,1.5,2,1,490000,6000,2.32,2,M,B,V,M,Pri,Free,H
174,2020,BKK,U,H,18,3,25,H,2.5,3,2.5,3.5,M,4,P,T,BKK,2,1.5,1,2,2,3,1.5,2.5,1.5,3,4,1050000,4000,2.54,2,W,M,M,M,Free,Bus,M
175,2020,NE,U,A,18,0,15,H,2,2,3.5,3,M,3,A,T,NE,2,1.5,2.5,2.5,2.5,2,2,2,2.5,2,1.5,550000,10000,2.44,2,W,B,B,F,Pri,Pri,H
176,2020,N,U,A,18,3,10,H,4,2,3.5,3.5,M,3,A,T,N,3,3.5,3.5,3,3,3,3,4,2.5,3,1.5,510000,3000,3.2,3,M,H,V,M,Pri,Pri,H
177,2020,NE,R,A,18,0,35,H,2.5,3,3,2,F,4,A,T,NE,2,1.5,2,1.5,2,2.5,2,2.5,0.5,1,3,570000,7000,2.18,3,W,H,P,F,Pri,Pri,H
178,2020,N,R,A,18,0,15,H,4,2.5,2,4,M,3,RM,A,N,3.5,3.5,3,3.5,3,2.5,4,4,3,4,1.5,610000,9000,3.22,3,W,D,M,M,Pub,Un,L
179,2020,BKK,U,H,18,18,40,H,2.5,3.5,4,2,F,3,P,T,BKK,2.5,3,3.5,2.5,3,1.5,2.5,2.5,1,3.5,3,940000,9000,2.79,3,M,M,B,F,Bus,Pub,M
180,2020,BKK,U,A,18,18,15,V,3.5,3.5,3,2,F,4,A,T,BKK,3,2,2,2.5,2.5,2,3,2.5,1.5,3,1,890000,3000,2.36,1,W,D,M,F,Pri,Bus,H
181,2020,N,U,A,19,0,15,H,3,3.5,2,2.5,F,4,A,T,N,3,2.5,3,3.5,3.5,3.5,3.5,3,3,3,1.5,510000,12000,2.94,2,M,V,V,F,Bus,Bus,H
182,2020,BKK,U,H,18,18,55,V,2,2,4,4,M,4,P,T,BKK,1.5,1.5,2.5,1.5,2.5,1,2,1,2,2.5,3.5,560000,9000,2.22,2,W,B,B,F,Pub,Pub,N
183,2020,NE,R,A,18,0,15,H,2,3,3,3,M,3,RM,T,NE,2,1.5,2.5,3,2,2.5,2.5,2,1.5,2.5,3.5,520000,10000,2.61,2,W,V,B,F,Free,Pub,M
184,2020,N,R,A,18,3,5,V,2.5,2,3,4,M,4,RM,T,N,2.5,3,4,2.5,3,4,3,2,2,3,4,1240000,10000,2.98,3,W,D,M,M,Pri,Bus,M
185,2020,BKK,U,H,18,18,40,H,4,3,3,3,F,3,P,T,BKK,3.5,3,4,3.5,3.5,2,3.5,3,4,2.5,3,570000,6000,3.22,2,W,B,V,M,Free,Free,H
186,2020,S,U,A,18,0,15,H,3,3,2.5,2,M,3,A,T,BKK,2.5,1.5,2,2.5,1.5,0.5,2.5,2.5,1.5,2,4,840000,13000,2.35,2,W,M,M,F,Pub,Free,N
187,2020,N,U,H,18,0,10,H,2.5,3.5,3.5,2,F,4,P,T,N,2,2,3,2,1.5,1,3,2,2,1.5,2.5,430000,3000,2.29,3,M,V,B,F,Free,Pri,H
188,2020,BKK,U,H,19,19,35,V,3,3,3,2,F,2,MoD,A,BKK,2.5,2,3,2.5,2.5,1.5,2.5,2.5,3.5,2.5,3,610000,5000,2.81,2,W,B,B,M,Pub,Un,N
189,2020,BKK,U,H,19,4,90,H,3.5,2.5,2.5,3,F,4,P,T,BKK,3.5,4,4,3,4,3,2.5,3.5,4,4,2,480000,6000,3.39,2,M,V,B,F,Pub,Bus,L
190,2020,BKK,U,H,19,19,5,V,2.5,3.5,3,2.5,F,4,P,T,BKK,2.5,2,3,2.5,2,2.5,2,3,2.5,2.5,2.5,600000,12000,2.66,2,W,B,B,F,Free,Bus,M
191,2020,N,U,A,18,0,5,H,3.5,3,3,2,M,3,A,T,N,3,3.5,3.5,2.5,3.5,1.5,3,3,2.5,3.5,4,1610000,7000,3.21,2,M,B,M,F,Pub,Pub,H
192,2020,S,R,A,18,3,35,H,2.5,4,3,3.5,M,4,A,T,S,2.5,1.5,2,2.5,2,1.5,3,2,2.5,3,3,1270000,3000,2.39,3,W,M,B,F,Pub,Pri,M
193,2020,NE,U,A,18,0,10,H,3.5,3,3.5,2,F,3,A,T,NE,3,2.5,3.5,3,3,1.5,2.5,3.5,2.5,4,2.5,790000,12000,2.95,3,M,B,M,F,Pri,Pub,M
194,2020,BKK,U,H,18,18,60,V,2.5,2.5,3.5,4,F,4,P,T,BKK,2,1.5,2,1.5,2,3,2,2.5,2,2,1,470000,5000,2.24,1,W,V,B,F,Bus,Free,M
195,2020,S,U,A,18,0,15,V,2,2,3.5,2.5,F,4,A,T,S,2,1.5,2,2,2,2.5,2,3,2.5,2.5,1.5,830000,11000,2.38,3,W,M,D,F,Pub,Bus,H
196,2020,N,U,A,18,3,5,H,3,2,2,2,F,4,A,T,N,2.5,3,4,2.5,2,1.5,2.5,3,2.5,2,3.5,920000,5000,2.65,3,M,D,M,F,Free,Free,M
197,2020,N,R,A,18,3,10,H,2,2,2.5,3.5,M,4,RM,T,BKK,2,1.5,2,2,2.5,2.5,1.5,2.5,1.5,2,3.5,780000,11000,2.21,2,W,D,M,F,Free,Pub,H
198,2020,BKK,U,A,18,18,15,H,2,2,3.5,2.5,F,3,RM,T,BKK,1.5,2,2.5,1.5,0,1,1.5,1.5,1,1.5,1,490000,6000,1.8,2,W,V,V,F,Pub,Bus,M
199,2020,S,U,A,18,0,55,H,2,3.5,4,2,M,3,A,T,S,1.5,1,1,1.5,2.5,1,2,0.5,1,2,1.5,510000,3000,1.72,2,W,V,B,F,Bus,Free,L
200,2020,N,U,A,18,0,5,H,3.5,2.5,2,2.5,M,3,A,T,N,3,3.5,4,3,2,2.5,3,4,3,3,2,580000,9000,2.92,3,W,B,M,F,Bus,Pri,N
201,2020,S,U,A,18,3,10,H,2.5,3,3.5,3.5,F,2,A,A,S,2,2,2.5,2,1.5,1,2,2.5,1,2.5,3,540000,4000,2.21,2,W,B,B,M,Free,Un,L
202,2020,S,U,A,19,0,10,H,3.5,2.5,2,3,M,5,RM,T,S,2.5,1.5,1.5,3,2.5,2,2.5,2.5,1,2,3.5,540000,13000,2.3,2,W,B,B,F,Pri,Free,H
203,2020,BKK,U,H,19,19,70,V,2,2,2,3,F,3,P,T,BKK,2,2,1.5,2,1,2,2,1.5,0.5,2,3,590000,8000,1.93,2,W,B,B,F,Bus,Pub,M
204,2020,N,R,A,18,0,10,H,4,4,2,2.5,F,4,A,T,N,3,2.5,3,3,3,1.5,3.5,3.5,1,3,1.5,1370000,8000,2.77,2,W,B,M,F,Pub,Bus,L
205,2020,BKK,U,H,18,18,45,V,3.5,2,3.5,3,M,3,P,T,BKK,3,3,4,3.5,4,3.5,3,3,3,3.5,0,1070000,6000,3.15,1,W,B,M,F,Free,Pub,H
206,2020,BKK,U,A,18,18,30,V,3.5,2,3.5,3,M,2,A,A,BKK,2.5,1.5,1.5,2,2,2,3,2,2.5,2,3.5,820000,6000,2.42,1,M,M,M,M,Pri,Un,M
207,2020,S,U,A,19,0,15,H,3,3,3.5,4,F,4,A,T,S,2.5,2.5,3.5,3,3.5,2,3,2.5,0.5,3,3.5,520000,7000,2.78,2,W,B,M,F,Bus,Pub,L
208,2020,BKK,U,H,20,20,30,V,3,4,2,4,M,3,P,T,BKK,3,3,3.5,3,3,2,3,3,3.5,3.5,4,510000,5000,3.17,1,W,H,P,F,Pub,Pri,N
209,2020,S,U,A,19,0,5,H,3,3,3.5,4,F,3,A,T,S,2.5,3,3.5,2.5,1.5,3,2.5,2.5,1,3,1,510000,4000,2.53,3,W,B,V,F,Pub,Pri,L
210,2020,BKK,U,A,18,3,10,V,3.5,2,2.5,2.5,F,4,A,T,BKK,3.5,4,4,3.5,4,4,3.5,3.5,3.5,4,4,870000,3000,3.82,1,W,D,D,F,Bus,Pri,N
211,2020,BKK,U,H,18,18,10,V,3.5,3.5,2,4,M,3,P,T,BKK,3.5,3.5,3.5,3.5,4,2,3.5,3.5,3,3,4,490000,12000,3.39,2,W,H,P,F,Free,Pub,H
212,2020,NE,U,A,18,0,15,H,4,4,2,3.5,M,4,A,T,BKK,4,4,4,4,4,3,4,3.5,4,4,1.5,490000,12000,3.67,2,M,B,B,M,Free,Free,M
213,2020,BKK,U,H,19,19,70,H,2,2.5,2,3.5,F,4,P,T,BKK,1.5,1.5,2,1,1,2,1.5,2,0.5,1,1.5,460000,12000,1.7,3,W,P,H,F,Bus,Bus,H
214,2020,N,U,A,18,0,10,H,4,3.5,4,2.5,F,3,A,T,N,3.5,3.5,4,4,4,2.5,3,3.5,3.5,3.5,3,540000,6000,3.4,2,W,P,P,M,Bus,Pri,N
215,2020,BKK,U,H,19,19,10,V,3.5,4,3,3.5,F,4,P,T,BKK,3,3,3.5,2.5,3,3,3.5,3.5,1,2.5,0.5,1200000,8000,2.61,1,W,B,B,M,Pri,Bus,H
216,2020,BKK,U,A,18,18,15,V,3,2,3.5,4,M,3,A,A,BKK,2.5,3,3,3,3,3,2.5,2.5,2.5,2,3,1030000,4000,2.7,2,W,M,M,F,Un,Bus,M
217,2020,N,R,A,19,4,10,H,2,4,4,3.5,M,3,A,T,N,2,3,3.5,2,1.5,2.5,2.5,2,1,2,2.5,420000,6000,2.34,2,W,P,P,F,Pub,Pri,H
218,2020,S,U,A,18,0,45,H,3.5,2,3,4,M,4,A,T,S,3,3,3.5,2.5,2.5,1,3.5,3,3.5,3.5,1,500000,8000,2.84,2,W,V,B,M,Pri,Free,H
219,2020,BKK,U,H,18,3,65,H,4,2,2.5,3.5,F,3,P,T,BKK,3.5,4,4,3.5,3,3.5,4,3.5,2,4,2,480000,4000,3.47,2,W,H,P,F,Free,Free,N
220,2020,BKK,U,A,18,18,10,V,3,4,3,2,F,2,A,A,BKK,2.5,1.5,1.5,3,2.5,3,3,2,2,3,3,590000,11000,2.54,1,W,B,V,M,Pri,Un,N
221,2020,BKK,U,H,18,18,35,V,2,2.5,2,4,F,4,P,T,BKK,1.5,2,2,1,1,0,1.5,1.5,1,1,2,470000,12000,1.84,2,W,H,H,F,Pub,Pub,H
222,2020,BKK,U,A,18,18,15,H,2,4,2,3,M,3,A,T,BKK,2,2.5,2,1.5,2,0,2,2,1.5,2,2,1360000,5000,2.03,3,W,M,B,F,Pri,Pub,H
223,2020,BKK,U,H,18,18,55,H,3.5,3,4,4,M,4,P,T,BKK,3,3,4,3,2.5,1.5,2.5,2.5,2.5,4,4,830000,9000,2.96,2,W,B,B,M,Bus,Pri,M
224,2020,N,U,A,18,3,15,H,2.5,2,3,2.5,M,3,A,T,N,2,1.5,3,2.5,2,1,2,2,2,3,3.5,440000,11000,2.34,2,W,V,H,F,Free,Pub,M
225,2020,N,U,A,18,0,15,H,2,4,4,2,M,4,A,T,N,2,2,2,2,3,0,2.5,2,2.5,2.5,3,500000,12000,2.46,3,M,B,B,F,Bus,Pub,N
226,2020,NE,U,A,18,0,30,H,4,3.5,4,3.5,M,4,A,T,NE,3.5,2.5,2,3.5,3.5,3.5,3.5,4,3,4,2.5,500000,4000,3.22,3,W,P,H,M,Bus,Pub,L
227,2020,N,R,A,18,0,5,H,2,2.5,3.5,2.5,F,4,A,T,BKK,2,2.5,2.5,2,1.5,2,2,2,1,1,2.5,500000,12000,2.14,2,W,H,P,F,Pub,Pri,H
228,2020,N,U,A,19,0,5,H,2.5,3,3.5,2,M,3,A,A,N,2.5,1.5,1.5,2.5,2,2,2.5,2.5,1,3,2.5,520000,13000,2.48,2,M,P,P,M,Bus,Un,L
229,2020,NE,U,A,18,0,5,H,2,3,4,3.5,F,3,A,A,NE,2,2,2,2,2.5,1,2,2.5,2,2.5,2,510000,7000,2.21,3,W,V,B,M,Free,Un,L
230,2020,BKK,U,H,18,18,5,V,2.5,3.5,2,4,F,3,P,T,BKK,2.5,2.5,3.5,2.5,2.5,1.5,3,2,1.5,2.5,0.5,520000,4000,2.55,1,W,P,P,M,Free,Bus,N
231,2020,BKK,U,A,18,3,5,V,4,4,3,3.5,F,4,A,T,BKK,3.5,3,3.5,4,4,4,4,4,3,3,1,550000,6000,3.45,1,W,V,V,M,Free,Bus,H
232,2020,S,R,A,18,0,5,H,2.5,2,3,3,F,3,A,T,BKK,2.5,2,3,2.5,2,1.5,3,2.5,2,2.5,2.5,830000,4000,2.64,2,W,M,B,F,Bus,Free,H
233,2020,BKK,U,H,19,19,20,H,3,2.5,3,2,M,3,P,T,BKK,2.5,1.5,1.5,3,3,2,2.5,3,1.5,2.5,3,1020000,10000,2.39,2,W,M,D,F,Free,Bus,H
234,2020,BKK,U,H,18,18,60,V,4,3,2.5,2,M,3,P,T,BKK,3.5,3.5,3.5,3.5,3.5,2.5,4,3.5,2.5,3.5,2,470000,12000,3.26,1,W,V,V,F,Bus,Bus,N
235,2020,N,U,A,18,0,10,H,2,3,3.5,2.5,F,3,A,T,N,2,2,2,2,1.5,1,2,2.5,1,2,2,380000,6000,2.17,2,M,V,H,F,Bus,Pri,H
236,2020,S,U,A,18,3,10,H,3,3,2.5,3,F,4,A,T,S,2.5,2.5,2.5,2,1.5,2.5,3,3,1.5,2,4,1030000,11000,2.7,2,W,B,V,M,Pub,Pub,M
237,2020,BKK,U,H,18,18,30,V,4,3.5,2,3,M,4,P,T,BKK,3.5,4,4,3,4,4,4,3.5,3.5,3.5,3,470000,9000,3.69,1,W,V,H,F,Pub,Pub,N
238,2020,S,U,A,18,0,5,H,4,3.5,2,3,M,4,A,T,S,3.5,4,4,3,2,2.5,4,4,3,3.5,1.5,410000,8000,3.24,2,W,P,H,F,Pri,Free,N
239,2020,BKK,U,H,18,18,10,V,4,2,3,3,M,3,MoD,A,BKK,3.5,4,4,4,4,2.5,4,3,4,4,2.5,1350000,10000,3.67,1,W,B,V,M,Free,Un,M
240,2020,BKK,U,H,18,3,35,H,2,3.5,4,3,M,3,MoD,A,BKK,2,1.5,1.5,2.5,2,0.5,2.5,2.5,1,2.5,4,470000,8000,2.41,2,W,V,H,F,Un,Free,L
241,2020,BKK,U,H,18,18,5,H,3,3.5,4,4,F,3,P,T,BKK,2.5,3,3.5,3,3,3,2.5,2.5,1.5,1.5,2.5,490000,11000,2.59,2,W,P,P,M,Free,Free,H
242,2020,S,U,A,18,0,5,H,3.5,2,3.5,3,F,2,A,A,S,3,2.5,2,3,2,4,3,4,3,2.5,3,510000,9000,2.87,2,M,P,P,M,Pub,Un,H
243,2020,N,U,A,18,0,40,H,2,4,2,2,M,3,A,T,BKK,2,2.5,3,1.5,1,1,2,2.5,1,2.5,2,520000,13000,2.22,2,W,B,B,M,Pri,Pub,N
244,2020,S,R,A,18,3,15,H,3.5,3.5,2.5,2,M,4,A,T,S,3,3.5,4,3,2.5,2,2.5,3.5,2,3,3,1620000,11000,2.89,3,M,D,D,F,Pub,Pub,N
245,2020,N,U,A,18,0,5,H,3,2.5,4,2.5,M,4,A,T,N,2.5,3,4,2.5,1.5,1.5,2.5,2.5,2,3,3.5,480000,6000,2.61,3,W,H,P,M,Pub,Bus,M
246,2020,NE,U,A,18,0,10,H,2,3,4,3.5,F,4,RM,T,BKK,1.5,0.5,1,2,1.5,1,2.5,1.5,1,1.5,3,880000,12000,1.79,2,M,B,B,F,Bus,Free,H
247,2020,BKK,U,H,18,18,5,V,2,3,4,4,M,3,P,T,BKK,1.5,2,1.5,2,2.5,0,2,1,0.5,1.5,4,510000,9000,2.06,1,W,P,H,F,Pri,Bus,H
248,2020,BKK,U,H,18,18,45,H,3,2,3,4,M,2,MoD,A,BKK,2.5,2.5,3.5,2.5,2.5,0.5,2.5,2.5,0,3,3,1110000,11000,2.61,2,W,M,B,M,Free,Un,N
249,2020,BKK,U,H,18,18,50,V,4,3,2,2.5,M,3,P,T,BKK,3.5,4,4,3.5,3,2.5,3.5,4,3,4,4,1230000,8000,3.6,1,W,D,D,F,Bus,Pri,L
250,2020,BKK,U,H,18,18,20,V,4,2.5,4,2.5,F,2,MoD,A,BKK,3.5,3,3,3,2.5,3,4,3.5,3.5,4,2.5,480000,5000,3.32,2,W,V,B,M,Pub,Un,L
251,2020,S,R,A,18,0,10,V,4,3.5,3.5,3.5,F,4,RM,T,S,3.5,3.5,4,3.5,4,2,4,3.5,3,3.5,4,570000,7000,3.52,3,W,P,H,F,Free,Pub,L
252,2020,S,U,A,18,3,5,H,3,4,3.5,3,M,3,A,T,S,2.5,3.5,4,2.5,3,1.5,3,2.5,2,2.5,2,500000,9000,2.88,3,W,P,P,F,Pri,Pri,M
253,2020,BKK,U,H,18,18,25,V,2.5,3.5,4,2.5,M,2,MoD,A,BKK,2.5,2.5,3.5,2.5,3,2.5,2.5,1.5,1.5,2.5,2,520000,6000,2.6,1,W,V,B,M,Pub,Un,M
254,2020,BKK,U,H,18,18,5,H,3,4,3,3,F,3,P,T,BKK,3,3,4,3,2.5,3.5,3.5,4,2.5,4,3,490000,8000,3.32,3,W,B,M,M,Bus,Bus,M
255,2020,S,U,A,18,0,5,H,3.5,2,2,4,M,3,A,T,BKK,3,3,3,4,4,3.5,3.5,3,3,3,3,1170000,8000,3.36,2,W,D,M,M,Pub,Pri,H
256,2020,BKK,U,H,18,18,45,V,3,3,2.5,3.5,M,4,P,T,BKK,2.5,3,3,3,2.5,3,2.5,2.5,2,4,3.5,480000,12000,2.93,1,W,H,P,M,Free,Free,L
257,2020,NE,U,A,18,0,45,V,3.5,4,2.5,2,M,3,A,T,NE,3,2.5,3,3,2.5,1.5,3,3.5,2,3.5,2,1350000,10000,2.78,3,M,B,B,M,Pub,Free,H
258,2020,NE,U,A,19,4,10,H,3.5,3,4,3.5,M,4,A,T,NE,3,2,2,3,2.5,3,3,2.5,2.5,3.5,1.5,1440000,4000,2.65,2,W,D,D,F,Bus,Bus,L
259,2020,NE,R,A,18,0,10,H,4,3,3,3,F,2,A,A,NE,3.5,3.5,3,4,4,4,3,3.5,2,3,2.5,1550000,5000,3.32,3,W,D,D,M,Bus,Un,N
